t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17748849.9,83941128.2,429503893
1.0,S,34,9.03,4.31,17748849.9,83941129.5,429503922
2.0,S,34,19.62,9.40,17748849.9,83941130.1,429503930
3.0,S,34,30.06,14.64,17748849.9,83941130.6,429503934
4.0,S,34,40.50,19.75,17748849.9,83941130.7,429503936
5.0,S,34,51.05,24.77,17748849.9,83941130.9,429503943
6.0,S,34,61.60,29.87,17748849.9,83941187.4,429504109
7.0,S,35,71.97,34.76,17748849.9,83941200.6,429504162
8.0,S,35,82.41,39.38,17748849.9,83941242.6,429504305
9.0,S,35,90.94,43.02,17748849.9,83941310.2,429504602
10.0,S,35,97.21,45.57,17748849.9,83941373.5,429504730
11.0,S,36,105.18,48.37,17748849.9,83941580.8,429504910
12.0,S,35,118.14,53.36,17748849.9,83941618.4,429504957
13.0,S,35,130.51,58.43,17748849.9,83941642.6,429504987
14.0,S,35,140.63,62.40,17748849.9,83941669.6,429505016
15.0,S,35,142.11,62.46,17748849.9,83941764.0,429505269
16.0,S,37,151.71,65.82,17748849.9,83941787.9,429505374
17.0,S,37,165.66,70.76,17748849.9,83941822.2,429505522
18.0,S,37,179.71,75.63,17748849.9,83941836.5,429505583
19.0,S,37,193.65,80.64,17748849.9,83941872.8,429505704
20.0,S,36,202.99,84.00,17748849.9,83942085.6,429506457
21.0,S,35,209.98,86.80,17748849.9,83942147.7,429506720
22.0,S,35,210.96,86.82,17748849.9,83942147.8,429506739
23.0,S,39,222.30,90.23,17748849.9,83942180.0,429506873
24.0,S,39,237.20,94.87,17748849.9,83942238.7,429507119
25.0,S,39,252.58,99.45,17748849.9,83942266.6,429507228
26.0,S,39,268.09,104.01,17748849.9,83942316.7,429507409
27.0,S,38,283.59,109.07,17748849.9,83942475.1,429507628
28.0,S,39,295.08,113.12,17748849.9,83942744.1,429507940
29.0,S,39,304.94,114.97,17748849.9,83942797.2,429508108
30.0,S,39,310.55,115.06,17748849.9,83942857.4,429508315
31.0,S,38,324.70,120.05,17748849.9,83942861.4,429508339
32.0,S,38,337.39,124.28,17748849.9,83943010.9,429508815
33.0,S,37,343.73,126.88,17748849.9,83943223.0,429509541
34.0,S,37,357.09,131.49,17748849.9,83943263.3,429509680
35.0,S,37,370.47,136.14,17748849.9,83943317.2,429509864
36.0,S,36,382.40,140.79,17748849.9,83943439.9,429510394
37.0,S,36,390.06,143.35,17748849.9,83943555.5,429510798
38.0,S,35,399.76,147.15,17748849.9,83943617.6,429511022
39.0,S,35,400.68,147.17,17748849.9,83943644.0,429511096
40.0,S,39,412.26,150.97,17748849.9,83943670.4,429511172
41.0,S,39,427.55,155.53,17748849.9,83943727.9,429511360
42.0,S,38,441.86,160.11,17748849.9,83943815.8,429511545
43.0,S,38,456.88,165.24,17748849.9,83943846.0,429511575
44.0,S,36,470.64,170.00,17748849.9,83944093.9,429511793
45.0,S,35,474.81,171.30,17748849.9,83944214.6,429512067
46.0,S,35,478.84,172.50,17748849.9,83944240.1,429512150
47.0,S,35,490.12,177.12,17748849.9,83944293.0,429512341
48.0,S,35,500.46,181.35,17748849.9,83944325.6,429512566
49.0,S,35,508.69,184.66,17748849.9,83944445.5,429513031
50.0,S,35,520.00,189.29,17748849.9,83944501.2,429513263
51.0,S,35,529.49,192.85,17748849.9,83944557.2,429513445
52.0,S,35,537.44,195.53,17748849.9,83944613.4,429513664
53.0,S,41,540.88,195.61,17748849.9,83944672.7,429513929
54.0,S,41,557.40,199.93,17748849.9,83944696.3,429514024
55.0,S,41,574.55,204.63,17748849.9,83944752.4,429514220
56.0,S,41,592.20,209.47,17748849.9,83944854.3,429514356
57.0,S,41,610.36,214.30,17748849.9,83944904.6,429514405
58.0,S,39,624.35,219.07,17748849.9,83945214.6,429514865
59.0,S,35,631.49,222.02,17748849.9,83945390.0,429515456
60.0,S,35,641.39,225.79,17748849.9,83945420.8,429515557
61.0,S,35,643.28,225.82,17748849.9,83945446.6,429515637
62.0,S,35,652.81,229.45,17748849.9,83945472.2,429515723
63.0,S,35,663.00,233.72,17748849.9,83945592.9,429516205
