t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17741087.7,81481752.5,422789211
1.0,S,34,9.56,4.34,17741087.7,81481754.3,422789242
2.0,S,34,20.51,9.31,17741087.7,81481754.7,422789247
3.0,S,34,31.51,14.18,17741087.7,81481836.4,422789492
4.0,S,34,42.38,19.19,17741087.7,81481836.8,422789494
5.0,S,34,53.21,24.25,17741087.7,81481837.9,422789496
6.0,S,34,62.14,28.43,17741087.7,81481935.2,422789834
7.0,S,42,66.99,29.85,17741087.7,81482171.6,422790513
8.0,S,42,85.67,34.85,17741087.7,81482301.7,422790708
9.0,S,34,100.17,39.83,17741087.7,81482374.1,422790804
10.0,S,34,111.81,45.07,17741087.7,81482374.4,422790808
11.0,S,34,123.62,50.17,17741087.7,81482375.7,422790811
12.0,S,34,135.34,55.34,17741087.7,81482376.5,422790820
13.0,S,34,146.39,60.19,17741087.7,81482453.2,422790997
14.0,S,34,147.34,60.30,17741087.7,81482702.8,422791937
15.0,S,42,159.99,63.20,17741087.7,81482933.7,422792353
16.0,S,41,179.55,68.00,17741087.7,81483064.5,422792510
17.0,S,34,183.18,68.92,17741087.7,81483154.2,422792622
18.0,S,34,184.17,68.93,17741087.7,81483208.2,422792819
19.0,S,34,185.16,68.94,17741087.7,81483220.6,422792850
20.0,S,34,186.15,68.96,17741087.7,81483220.8,422792853
21.0,S,34,186.99,68.98,17741087.7,81483286.6,422793001
22.0,S,34,187.98,68.99,17741087.7,81483341.5,422793125
23.0,S,34,190.10,69.65,17741087.7,81483376.0,422793220
24.0,S,34,197.23,72.10,17741087.7,81483376.2,422793221
25.0,S,34,204.48,74.57,17741087.7,81483376.4,422793222
26.0,S,34,211.61,77.01,17741087.7,81483376.7,422793230
27.0,S,34,218.96,79.54,17741087.7,81483443.7,422793397
28.0,S,34,226.18,81.98,17741087.7,81483509.5,422793616
29.0,S,34,233.76,84.28,17741087.7,81483509.7,422793619
30.0,S,34,241.15,86.80,17741087.7,81483509.9,422793633
31.0,S,34,247.70,88.01,17741087.7,81483510.1,422793636
32.0,S,34,253.78,88.88,17741087.7,81483575.0,422793810
33.0,S,34,260.31,89.87,17741087.7,81483575.5,422793828
34.0,S,34,266.86,90.90,17741087.7,81483575.6,422793831
35.0,S,34,273.30,91.89,17741087.7,81483575.9,422793840
36.0,S,34,279.85,92.88,17741087.7,81483704.8,422794269
37.0,S,34,285.87,93.87,17741087.7,81483788.4,422794672
38.0,S,34,292.31,94.97,17741087.7,81483789.1,422794675
39.0,S,34,298.81,96.08,17741087.7,81483789.8,422794678
40.0,S,34,305.19,96.99,17741087.7,81483789.9,422794680
41.0,S,34,311.60,97.97,17741087.7,81483901.4,422795036
42.0,S,34,317.97,99.08,17741087.7,81483901.6,422795038
43.0,S,34,324.51,100.09,17741087.7,81483901.9,422795039
44.0,S,34,331.04,101.14,17741087.7,81483950.5,422795082
45.0,S,34,337.57,102.28,17741087.7,81483950.8,422795087
46.0,S,42,342.50,102.99,17741087.7,81484274.4,422795532
47.0,S,42,353.84,104.18,17741087.7,81484435.4,422796092
48.0,S,34,363.29,105.22,17741087.7,81484556.2,422796548
49.0,S,34,364.28,105.24,17741087.7,81484556.9,422796556
50.0,S,34,365.04,105.25,17741087.7,81484622.5,422796794
51.0,S,34,366.03,105.26,17741087.7,81484622.8,422796796
52.0,S,34,367.02,105.28,17741087.7,81484708.5,422797080
53.0,S,34,368.14,105.49,17741087.7,81484751.0,422797239
54.0,S,34,374.01,106.31,17741087.7,81484752.0,422797247
55.0,S,34,379.71,107.22,17741087.7,81484753.7,422797254
56.0,S,34,385.53,108.10,17741087.7,81484815.2,422797461
57.0,S,34,391.36,109.08,17741087.7,81484815.8,422797467
58.0,S,34,397.29,109.86,17741087.7,81484833.4,422797581
59.0,S,34,402.91,110.80,17741087.7,81484881.0,422797773
60.0,S,34,408.94,111.59,17741087.7,81484923.9,422797833
61.0,S,34,414.86,112.49,17741087.7,81484924.5,422797834
62.0,S,34,420.72,113.39,17741087.7,81484925.0,422797839
63.1,S,34,426.39,114.33,17741087.7,81484989.7,422797897
64.1,S,34,432.22,115.24,17741087.7,81484990.2,422797902
65.1,S,34,438.10,116.13,17741087.7,81485056.4,422797962
66.1,S,34,443.96,117.04,17741087.7,81485057.4,422797967
67.1,S,34,449.94,117.91,17741087.7,81485084.6,422797996
68.1,S,34,455.94,118.77,17741087.7,81485085.3,422798003
69.1,S,34,461.89,119.61,17741087.7,81485204.0,422798105
70.1,S,34,467.86,120.42,17741087.7,81485204.4,422798110
71.1,S,34,473.78,121.31,17741087.7,81485204.7,422798111
72.1,S,34,479.74,122.18,17741087.7,81485206.0,422798115
73.1,S,34,485.68,123.03,17741087.7,81485276.5,422798203
74.1,S,34,491.39,123.93,17741087.7,81485325.2,422798418
75.1,S,34,497.24,124.87,17741087.7,81485325.6,422798421
76.1,S,34,503.04,125.85,17741087.7,81485325.9,422798424
77.1,S,34,508.63,126.73,17741087.7,81485379.9,422798629
78.1,S,34,514.49,127.61,17741087.7,81485474.4,422798926
79.1,S,34,520.25,128.53,17741087.7,81485629.8,422799425
