t_s,state,nthreads,utime_s,stime_s,disk_r_mb,disk_w_mb,disk_io_ms
0.0,R,1,0.00,0.00,17740046.0,81299020.9,422211150
1.0,S,34,2.39,0.25,17740046.0,81299023.0,422211190
2.0,S,34,4.62,0.49,17740046.0,81299023.1,422211191
3.0,S,34,6.86,0.66,17740046.0,81299023.3,422211200
4.0,S,34,9.09,0.82,17740046.0,81299023.4,422211202
5.0,S,34,11.33,0.95,17740046.0,81299023.6,422211203
6.0,S,34,13.61,1.07,17740046.0,81299039.4,422211241
7.0,S,34,15.83,1.25,17740046.0,81299039.6,422211242
8.0,S,34,18.11,1.42,17740046.0,81299039.9,422211252
9.0,S,34,20.38,1.58,17740046.0,81299040.5,422211261
10.0,S,34,22.60,1.75,17740046.0,81299041.1,422211275
11.0,S,34,24.89,1.91,17740046.0,81299041.7,422211280
12.0,S,34,27.16,2.11,17740046.0,81299042.0,422211282
13.0,S,34,29.39,2.29,17740046.0,81299042.2,422211285
14.0,S,34,31.63,2.47,17740046.0,81299042.3,422211285
15.0,S,34,33.86,2.66,17740046.0,81299042.5,422211287
16.0,S,34,36.08,2.84,17740046.0,81299043.1,422211292
17.0,S,34,38.27,3.03,17740046.0,81299043.4,422211296
18.0,S,34,40.49,3.19,17740046.0,81299043.5,422211297
19.0,S,34,42.72,3.36,17740046.0,81299043.7,422211301
20.0,S,34,44.97,3.52,17740046.0,81299043.8,422211301
21.0,S,34,47.01,3.68,17740046.0,81299089.9,422211510
22.0,S,34,49.23,3.82,17740046.0,81299090.4,422211513
23.0,S,34,51.48,3.96,17740046.0,81299090.8,422211517
24.0,S,34,53.70,4.17,17740046.0,81299090.9,422211519
25.0,S,34,55.93,4.36,17740046.0,81299091.1,422211522
26.0,S,34,58.08,4.58,17740046.0,81299091.2,422211523
27.0,S,34,60.32,4.74,17740046.0,81299091.4,422211525
28.0,S,34,62.57,4.88,17740046.0,81299091.8,422211536
29.0,S,34,64.76,5.06,17740046.0,81299092.1,422211539
30.0,S,34,66.98,5.24,17740046.0,81299092.2,422211541
31.0,S,34,69.19,5.39,17740046.0,81299092.4,422211543
32.0,S,34,71.38,5.57,17740046.0,81299092.5,422211544
33.0,S,34,73.51,5.75,17740046.0,81299094.2,422211574
34.0,S,34,75.63,5.96,17740046.0,81299094.4,422211578
35.0,S,34,77.84,6.10,17740046.0,81299094.8,422211586
36.0,S,34,80.13,6.21,17740046.0,81299137.9,422211698
37.0,S,34,82.34,6.34,17740046.0,81299139.2,422211737
38.0,S,34,84.55,6.52,17740046.0,81299139.3,422211739
39.0,S,34,86.72,6.73,17740046.0,81299139.8,422211742
40.0,S,34,88.88,6.87,17740046.0,81299140.3,422211754
41.0,S,34,91.01,7.08,17740046.0,81299141.1,422211762
42.0,S,34,93.16,7.25,17740046.0,81299141.3,422211764
43.0,S,34,95.32,7.41,17740046.0,81299141.5,422211769
44.0,S,34,97.47,7.63,17740046.0,81299141.9,422211773
45.0,S,34,99.59,7.83,17740046.0,81299142.2,422211779
46.0,S,34,101.77,7.98,17740046.0,81299142.5,422211785
47.0,S,34,103.94,8.14,17740046.0,81299142.8,422211787
48.0,S,34,106.09,8.35,17740046.0,81299143.0,422211795
49.0,S,34,108.27,8.52,17740046.0,81299143.3,422211799
50.0,S,34,110.47,8.69,17740046.0,81299143.8,422211801
51.0,S,34,112.59,8.92,17740046.0,81299144.1,422211810
52.1,S,34,114.77,9.07,17740046.0,81299187.4,422211969
53.1,S,34,116.93,9.24,17740046.0,81299187.7,422211978
54.1,S,34,119.08,9.43,17740046.0,81299187.9,422211981
55.1,S,34,121.23,9.61,17740046.0,81299188.5,422211985
56.1,S,34,123.39,9.78,17740046.0,81299188.8,422211992
57.1,S,34,125.53,9.96,17740046.0,81299189.0,422211994
58.1,S,34,127.63,10.10,17740046.0,81299189.5,422212000
59.1,S,34,129.80,10.26,17740046.0,81299189.8,422212010
60.1,S,34,131.95,10.44,17740046.0,81299190.4,422212016
61.1,S,34,134.16,10.58,17740046.0,81299190.8,422212028
62.1,S,34,136.35,10.74,17740046.0,81299191.1,422212033
63.1,S,34,138.54,10.87,17740046.0,81299191.4,422212035
64.1,S,34,140.70,11.04,17740046.0,81299191.7,422212043
65.1,S,34,142.87,11.18,17740046.0,81299192.0,422212048
66.1,S,34,145.08,11.33,17740046.0,81299192.6,422212054
67.1,S,34,147.19,11.56,17740046.0,81299234.7,422212196
68.1,S,34,149.34,11.75,17740046.0,81299234.9,422212205
69.1,S,34,151.54,11.88,17740046.0,81299235.6,422212208
70.1,S,34,153.74,12.01,17740046.0,81299235.9,422212218
71.1,S,34,155.93,12.16,17740046.0,81299236.4,422212222
72.1,S,34,158.05,12.32,17740046.0,81299236.7,422212226
73.1,S,34,160.24,12.48,17740046.0,81299236.8,422212229
74.1,S,34,162.38,12.67,17740046.0,81299237.2,422212239
75.1,S,34,164.58,12.81,17740046.0,81299237.3,422212241
76.1,S,34,166.74,12.99,17740046.0,81299237.6,422212246
77.1,S,34,168.87,13.16,17740046.0,81299238.1,422212250
78.1,S,34,171.01,13.34,17740046.0,81299238.3,422212256
79.1,S,34,173.18,13.47,17740046.0,81299238.5,422212258
80.1,S,34,175.23,13.72,17740046.0,81299238.9,422212262
81.1,S,34,177.40,13.87,17740046.0,81299239.1,422212269
82.1,S,34,179.51,14.06,17740046.0,81299277.5,422212382
83.1,S,34,181.61,14.27,17740046.0,81299281.1,422212410
84.1,S,34,183.71,14.46,17740046.0,81299281.4,422212414
85.1,S,34,185.83,14.64,17740046.0,81299282.0,422212418
86.1,S,34,187.96,14.82,17740046.0,81299282.3,422212427
87.1,S,34,190.12,14.99,17740046.0,81299282.4,422212430
88.1,S,34,192.24,15.17,17740046.0,81299282.7,422212433
89.1,S,34,194.43,15.31,17740046.0,81299283.2,422212442
90.1,S,34,196.61,15.44,17740046.0,81299283.4,422212446
91.1,S,34,198.77,15.63,17740046.0,81299283.9,422212451
92.1,S,34,200.93,15.77,17740046.0,81299284.1,422212459
93.1,S,34,203.05,15.94,17740046.0,81299284.4,422212464
94.1,S,34,205.01,16.10,17740046.0,81299296.6,422212537
95.1,S,42,213.14,16.48,17740046.0,81299442.2,422212805
96.1,S,34,219.93,16.78,17740046.0,81299550.4,422212949
97.1,S,34,222.15,17.00,17740046.0,81299551.5,422212952
98.1,S,34,224.42,17.13,17740046.0,81299551.7,422212954
99.1,S,34,226.64,17.33,17740046.0,81299551.9,422212956
100.1,S,34,228.86,17.49,17740046.0,81299552.5,422212960
101.1,S,34,231.05,17.68,17740046.0,81299552.7,422212962
