10:03:17 size=2.7G stops=0 rss_kb=607084
10:08:17 size=8.3G stops=0 rss_kb=1063572
10:13:17 size=11G stops=1 rss_kb=1106820
10:18:17 size=14G stops=1 rss_kb=1129664
10:23:17 size=17G stops=3 rss_kb=1143724
10:28:17 size=19G stops=10 rss_kb=1165116
10:33:17 size=21G stops=20 rss_kb=1172212
10:38:18 size=23G stops=31 rss_kb=1200272
10:43:18 size=24G stops=52 rss_kb=1200264
10:48:18 size=25G stops=65 rss_kb=1220336
10:53:18 size=27G stops=75 rss_kb=1230008
10:58:18 size=28G stops=87 rss_kb=1237792
11:03:18 size=29G stops=100 rss_kb=1255068
11:08:18 size=30G stops=115 rss_kb=1271184
11:13:18 size=31G stops=129 rss_kb=1284052
11:18:18 size=32G stops=143 rss_kb=1290564
11:23:18 size=33G stops=158 rss_kb=1304728
11:28:18 size=34G stops=172 rss_kb=1306344
11:33:18 size=34G stops=186 rss_kb=1312468
11:38:18 size=35G stops=201 rss_kb=1321200
11:43:19 size=35G stops=215 rss_kb=1330448
11:48:19 size=36G stops=227 rss_kb=1342376
11:53:19 size=37G stops=238 rss_kb=1357520
11:58:19 size=37G stops=0 rss_kb=1892
12:03:19 size=37G stops=0 rss_kb=1892
12:08:19 size=37G stops=0 rss_kb=1892
12:13:19 size=37G stops=0 rss_kb=1892
12:18:19 size=37G stops=0 rss_kb=1892
12:23:19 size=37G stops=0 rss_kb=1892
12:28:19 size=37G stops=0 rss_kb=1892
12:33:19 size=37G stops=0 rss_kb=1892
12:38:19 size=37G stops=0 rss_kb=1892
12:43:19 size=37G stops=0 rss_kb=1892
12:48:19 size=37G stops=0 rss_kb=1892
12:53:20 size=37G stops=0 rss_kb=1892
12:58:20 size=37G stops=0 rss_kb=1892
13:03:20 size=37G stops=0 rss_kb=1892
13:08:20 size=37G stops=0 rss_kb=1892
13:13:20 size=37G stops=0 rss_kb=1892
13:18:20 size=37G stops=0 rss_kb=1892
13:23:20 size=37G stops=0 rss_kb=1892
13:28:20 size=37G stops=0 rss_kb=1892
13:33:20 size=37G stops=0 rss_kb=1892
13:38:20 size=37G stops=0 rss_kb=1892
13:43:20 size=37G stops=0 rss_kb=1892
13:48:20 size=37G stops=0 rss_kb=1892
13:53:20 size=37G stops=0 rss_kb=1892
13:58:20 size=37G stops=0 rss_kb=1892
14:03:21 size=37G stops=0 rss_kb=1892
14:08:21 size=37G stops=0 rss_kb=1892
14:13:21 size=37G stops=0 rss_kb=1892
14:18:21 size=37G stops=0 rss_kb=1892
14:23:21 size=37G stops=0 rss_kb=1892
14:28:21 size=37G stops=0 rss_kb=1892
14:33:21 size=37G stops=0 rss_kb=1892
14:38:21 size=37G stops=0 rss_kb=1892
14:43:21 size=37G stops=0 rss_kb=1892
14:48:21 size=37G stops=0 rss_kb=1892
14:53:21 size=37G stops=0 rss_kb=1892
14:58:21 size=37G stops=0 rss_kb=1892
15:03:21 size=37G stops=0 rss_kb=1892
15:08:21 size=37G stops=0 rss_kb=1892
15:13:22 size=37G stops=0 rss_kb=1892
15:18:22 size=37G stops=0 rss_kb=1892
15:23:22 size=37G stops=0 rss_kb=1892
15:28:22 size=37G stops=0 rss_kb=1892
15:33:22 size=37G stops=0 rss_kb=1892
15:38:22 size=37G stops=0 rss_kb=1892
15:43:22 size=37G stops=0 rss_kb=1892
15:48:22 size=40G stops=0 rss_kb=1892
15:53:22 size=45G stops=0 rss_kb=1892
15:58:22 size=51G stops=0 rss_kb=1892
16:03:22 size=51G stops=0 rss_kb=1892
16:08:22 size=35G stops=0 rss_kb=1892
16:13:22 size=35G stops=0 rss_kb=1892
16:18:22 size=35G stops=0 rss_kb=1892
16:23:22 size=35G stops=0 rss_kb=1892
16:28:23 size=35G stops=0 rss_kb=1892
16:33:23 size=35G stops=0 rss_kb=1892
16:38:23 size=35G stops=0 rss_kb=1892
16:43:23 size=35G stops=0 rss_kb=1892
16:48:23 size=35G stops=0 rss_kb=1892
16:53:23 size=35G stops=0 rss_kb=1892
16:58:23 size=35G stops=0 rss_kb=1892
17:03:23 size=35G stops=0 rss_kb=1892
17:08:23 size=35G stops=0 rss_kb=1892
17:13:23 size=35G stops=0 rss_kb=1892
17:18:23 size=35G stops=0 rss_kb=1892
17:23:23 size=35G stops=0 rss_kb=1892
17:28:23 size=35G stops=0 rss_kb=1892
17:33:23 size=35G stops=0 rss_kb=1892
17:38:24 size=35G stops=0 rss_kb=1892
17:43:24 size=35G stops=0 rss_kb=1892
17:48:24 size=35G stops=0 rss_kb=1892
17:53:24 size=35G stops=0 rss_kb=1892
17:58:24 size=35G stops=0 rss_kb=1892
18:03:24 size=35G stops=0 rss_kb=1892
18:08:24 size=35G stops=0 rss_kb=1892
18:13:24 size=35G stops=0 rss_kb=1892
18:18:24 size=35G stops=0 rss_kb=1892
18:23:24 size=35G stops=0 rss_kb=1892
18:28:24 size=35G stops=0 rss_kb=1892
18:33:24 size=35G stops=0 rss_kb=1892
18:38:24 size=35G stops=0 rss_kb=1892
18:43:24 size=35G stops=0 rss_kb=1892
18:48:25 size=35G stops=0 rss_kb=1892
18:53:25 size=35G stops=0 rss_kb=1892
18:58:25 size=35G stops=0 rss_kb=1892
19:03:25 size=35G stops=0 rss_kb=1892
19:08:25 size=35G stops=0 rss_kb=1892
19:13:25 size=35G stops=0 rss_kb=1892
19:18:25 size=35G stops=0 rss_kb=1892
19:23:25 size=35G stops=0 rss_kb=1892
19:28:25 size=35G stops=0 rss_kb=1892
19:33:25 size=35G stops=0 rss_kb=1892
19:38:25 size=35G stops=0 rss_kb=1892
19:43:25 size=35G stops=0 rss_kb=1892
19:48:25 size=35G stops=0 rss_kb=1892
19:53:25 size=35G stops=0 rss_kb=1892
19:58:26 size=35G stops=0 rss_kb=1892
20:03:26 size=35G stops=0 rss_kb=1892
20:08:26 size=35G stops=0 rss_kb=1892
